mfcc_0_wavelet_mean_l0,mfcc_0_wavelet_std_l0,mfcc_0_wavelet_energy_l0,mfcc_0_wavelet_mean_l2,mfcc_0_wavelet_std_l2,mfcc_0_wavelet_energy_l2,mfcc_0_mod_mean_freq,mfcc_0_mod_std_freq,mfcc_0_mod_entropy,mfcc_0_temporal_peak_valley_ratio,mfcc_0_temporal_rhythm_strength,mfcc_1_wavelet_mean_l0,mfcc_1_wavelet_std_l0,mfcc_1_wavelet_energy_l0,mfcc_1_wavelet_mean_l2,mfcc_1_wavelet_std_l2,mfcc_1_wavelet_energy_l2,mfcc_1_mod_mean_freq,mfcc_1_mod_std_freq,mfcc_1_mod_entropy,mfcc_1_temporal_peak_valley_ratio,mfcc_1_temporal_rhythm_strength,mfcc_2_wavelet_mean_l0,mfcc_2_wavelet_std_l0,mfcc_2_wavelet_energy_l0,mfcc_2_wavelet_mean_l2,mfcc_2_wavelet_std_l2,mfcc_2_wavelet_energy_l2,mfcc_2_mod_mean_freq,mfcc_2_mod_std_freq,mfcc_2_mod_entropy,mfcc_2_temporal_peak_valley_ratio,mfcc_2_temporal_rhythm_strength,mfcc_3_wavelet_mean_l0,mfcc_3_wavelet_std_l0,mfcc_3_wavelet_energy_l0,mfcc_3_wavelet_mean_l2,mfcc_3_wavelet_std_l2,mfcc_3_wavelet_energy_l2,mfcc_3_mod_mean_freq,mfcc_3_mod_std_freq,mfcc_3_mod_entropy,mfcc_4_wavelet_mean_l0,mfcc_4_wavelet_std_l0,mfcc_4_wavelet_energy_l0,mfcc_4_wavelet_mean_l2,mfcc_4_wavelet_std_l2,mfcc_4_wavelet_energy_l2,mfcc_4_mod_mean_freq,mfcc_4_mod_std_freq,mfcc_4_mod_entropy,mfcc_5_wavelet_mean_l0,mfcc_5_wavelet_std_l0,mfcc_5_wavelet_energy_l0,mfcc_5_wavelet_mean_l2,mfcc_5_wavelet_std_l2,mfcc_5_wavelet_energy_l2,mfcc_6_wavelet_mean_l0,mfcc_6_wavelet_std_l0,mfcc_6_wavelet_energy_l0,mfcc_6_wavelet_mean_l2,mfcc_6_wavelet_std_l2,mfcc_6_wavelet_energy_l2,mfcc_7_wavelet_mean_l0,mfcc_7_wavelet_std_l0,mfcc_7_wavelet_energy_l0,mfcc_7_wavelet_mean_l2,mfcc_7_wavelet_std_l2,mfcc_7_wavelet_energy_l2,mfcc_8_wavelet_mean_l0,mfcc_8_wavelet_std_l0,mfcc_8_wavelet_energy_l0,mfcc_8_wavelet_mean_l2,mfcc_8_wavelet_std_l2,mfcc_8_wavelet_energy_l2,mfcc_9_wavelet_mean_l0,mfcc_9_wavelet_std_l0,mfcc_9_wavelet_energy_l0,mfcc_9_wavelet_mean_l2,mfcc_9_wavelet_std_l2,mfcc_9_wavelet_energy_l2
187.75272419754054,139.86766385505265,436602.0510951902,83.82329822418411,162.22792871809995,298246.13492691173,735.0000000000002,1039.446968344225,0.6365141682948128,0.0,0.0,187.7527612667052,139.86769146997798,436602.22349721525,83.82331477392879,162.22796074774868,298246.2526960278,735.0000000000001,1039.446968344225,0.6365141682948128,0.0,0.0,187.7527983358699,139.86771908490337,436602.3958992744,83.82333132367346,162.22799277739745,298246.3704651672,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,187.75283540503452,139.8677466998287,436602.5683013673,83.82334787341813,162.2280248070462,298246.48823432985,735.0,1039.446968344225,0.6365141682948128,187.7528724741992,139.86777431475403,436602.74070349435,83.82336442316279,162.2280568366949,298246.60600351554,735.0,1039.4469683442248,0.6365141682948128,187.75290954336387,139.8678019296794,436602.91310565535,83.82338097290744,162.22808886634363,298246.72377272445,187.75294661252852,139.86782954460477,436603.0855078508,83.82339752265212,162.22812089599236,298246.84154195676,186.74245456394314,138.15963234084066,431686.62676098116,83.2694923803718,159.4098565373264,287828.1104640221,186.66040573850483,138.28655752573954,431722.23250226345,83.15359291793658,158.87620967027024,285833.10176429705,187.7529836816932,139.8678571595301,436603.2579100799,83.82341407239676,162.22815292564107,298246.95931121224
218.43602093663753,162.72539363027298,590965.0414261998,97.52203492190793,188.73986188711947,403692.65109993465,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,218.436024643554,162.72539639176549,590965.0614838629,97.52203657688239,188.7398650900843,403692.6648014745,735.0,1039.446968344225,0.6365141682948128,0.0,0.0,218.43602835047042,162.72539915325802,590965.0815415261,97.52203823185687,188.73986829304923,403692.67850301514,734.9999999999999,1039.4469683442248,0.6365141682948128,0.0,0.0,218.4360320573869,162.7254019147506,590965.1015991902,97.52203988683132,188.73987149601408,403692.69220455573,735.0,1039.4469683442248,0.6365141682948128,218.43603576430337,162.7254046762431,590965.1216568543,97.52204154180579,188.73987469897892,403692.7059060963,735.0,1039.4469683442248,0.6365141682948128,218.43603947121983,162.72540743773564,590965.1417145188,97.52204319678027,188.73987790194383,403692.71960763744,218.4360431781363,162.72541019922818,590965.1617721837,97.52204485175471,188.73988110490862,403692.7333091785,218.18412270377866,162.44833163486695,590156.5051694466,97.45385547886141,188.17940822298175,401257.7991748145,218.11964952091026,162.37365265111666,589989.2904455634,97.45910944679665,188.058807732919,400734.6713571789,218.43604688505272,162.7254129607207,590965.1818298486,97.52204650672918,188.7398843078735,403692.74701071996
181.25088538783575,135.0240749859041,406886.7530689525,80.92051438506368,156.6100084058088,277947.39202752395,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,181.25088575852737,135.02407526205334,406886.75473327003,80.92051455056114,156.6100087261053,277947.3931644318,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,181.25088612921903,135.0240755382026,406886.75639758765,80.92051471605859,156.6100090464018,277947.3943013397,735.0000000000001,1039.4469683442248,0.6365141682948128,0.0,0.0,181.09190655356457,134.82680310471065,405995.47314900067,80.93651269898507,156.62251470678635,277992.19425216713,733.3066967485379,1038.8533766289734,0.635998377717317,181.25088649991068,135.02407581435187,406886.7580619054,80.92051488155603,156.6100093666983,277947.3954382476,734.9999999999999,1039.4469683442248,0.6365141682948128,181.0669550848269,135.01246662326793,405895.9356347321,80.92743033604584,156.6221328315228,277990.4437976202,180.18312757380227,134.98599862263447,401045.84005345893,80.96058894455098,156.6818502703551,278202.5215538419,180.56155042702792,134.99840204086576,403112.8122759897,80.9463916892872,156.6563429624948,278111.9260982962,180.99222200611695,135.0077610506911,405493.85652606224,80.93024823886493,156.62707529094496,278007.99512541405,181.25088687060236,135.02407609050113,406886.759726223,80.92051504705348,156.6100096869948,277947.3965751555
230.7452448251729,171.8952333570555,659445.330196341,103.01755968367577,199.37565907248253,450472.04985250824,735.0000000000001,1039.446968344225,0.6365141682948128,0.0,0.0,230.74524853208936,171.895236118548,659445.3513842858,103.01756133865021,199.37566227544735,450472.06432615226,734.9999999999995,1039.4469683442248,0.6365141682948128,0.0,0.0,230.74525223900577,171.89523888004058,659445.3725722311,103.0175629936247,199.37566547841223,450472.07879979647,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,230.74525594592228,171.8952416415331,659445.3937601768,103.01756464859918,199.37566868137714,450472.093273441,735.0,1039.4469683442248,0.6365141682948128,230.7452596528388,171.89524440302566,659445.4149481229,103.01756630357366,199.3756718843421,450472.10774708615,734.9999999999999,1039.4469683442248,0.6365141682948128,230.74526335975526,171.89524716451822,659445.4361360694,103.0175679585481,199.37567508730692,450472.12222073105,230.74526706667172,171.8952499260107,659445.4573240157,103.0175696135226,199.3756782902718,450472.13669437624,230.74527077358815,171.89525268750322,659445.4785119628,103.01757126849705,199.37568149323664,450472.15116802184,230.74527448050458,171.89525544899575,659445.4996999099,103.01757292347149,199.37568469620146,450472.16564166726,230.74527818742112,171.89525821048832,659445.520887858,103.01757457844599,199.3756878991664,450472.1801153134
102.35788899776298,80.6860316398751,134385.8586638567,74.84067949521935,147.25950231052497,254578.72541197215,2463.100428047243,3890.211873263624,1.3418115805558326,3.902684040394687,0.7071067811865476,91.68016947576277,71.40775653639169,108034.56934932139,72.65924397027841,141.75057968710578,236505.23507582236,3608.785077636507,5008.336857317842,1.4666966861175634,3.545989745967049,0.7071067811865476,87.2154959417548,66.14271557720987,95851.21245035144,74.19440567684009,143.86932813524936,242956.50289250677,4385.854243197386,5334.758149552686,1.4834691012138743,3.7226477269453455,0.4330127018922193,87.59884991828707,63.61513075041475,93763.54693919157,75.70905107095885,146.2402863819603,250295.81279197693,4539.020421789065,5119.409319038672,1.5551860579574122,93.52035388320171,65.32139051055422,104103.52518937284,72.74505042800526,145.90934212559873,249621.89180593216,3767.0549207120325,4923.434012631409,1.475793984217528,96.2613007802889,73.22360779111109,117023.47812687772,71.83309800675468,147.3451959501179,254233.5570870262,99.48499642297816,79.53111282353197,129779.69936183479,72.85212127859563,147.87929145428075,256262.51205703572,98.89069908745489,75.57524380907189,123927.90274244969,75.60108533870508,148.13769780280086,256854.7494338975,100.9304052438852,75.42772610662577,126826.18918390671,76.64750638875691,147.4492765921318,254037.97284496477,104.68048244671377,76.39452359605221,134353.0131259562,78.8997456202243,148.5204312436622,257757.50545505903
199.63948935094683,148.72279008507923,493635.2652285398,89.1302138209266,172.49870001176544,337205.95116016595,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,199.63948972163845,148.72279036122848,493635.2670617086,89.13021398642404,172.49870033206196,337205.9524124174,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,196.34081074173127,148.89101310757744,472770.71306621225,89.32025863497645,172.68593143022017,337941.81268719345,738.453454562504,1041.5580400831714,0.63856961867468,1.3590067640776244,0.0,195.68620305582257,149.27274013826312,467303.25983490853,89.55426962980926,172.61522011941574,337671.6023026823,751.1730130739932,1057.436956366764,0.6508118460908332,197.55540852954908,149.24622516585862,478627.473778311,89.38640094826141,172.5282558741001,337331.5663852001,747.4537383766357,1051.3484374280927,0.646548736991663,196.89930044607178,148.99214473074923,475713.782871153,89.31929946691271,172.63439484967768,337741.5772416749,196.51359905529307,148.66208527003332,474194.0858188559,89.26725262533874,172.68482829827028,337949.85883259744,196.09812417884257,148.57812507958795,471931.52734727005,89.28993052984139,172.71516403166677,338068.6712078192,196.31472163330486,148.52032062943871,474087.0896910445,89.25310149752235,172.71930878474348,338069.8755167658,196.10139450560146,148.28491187852046,473782.21959882067,89.2613300105653,172.72023990689115,338073.26351210254
235.80201638865856,175.66230959126904,688665.4678017858,105.27518482668923,203.74496758851637,470432.5449555338,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,235.80201675935018,175.66230986741826,688665.4699670133,105.27518499218665,203.74496790881287,470432.546434617,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,235.80201713004186,175.66231014356754,688665.4721322411,105.27518515768413,203.7449682291094,470432.5479137005,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,235.80201750073348,175.6623104197168,688665.4742974689,105.27518532318155,203.74496854940583,470432.54939278355,735.0,1039.4469683442248,0.6365141682948128,235.80201787142505,175.66231069586598,688665.4764626963,105.27518548867894,203.74496886970223,470432.5508718665,735.0,1039.4469683442248,0.6365141682948128,235.8020182421168,175.6623109720153,688665.4786279246,105.27518565417645,203.74496918999878,470432.55235095025,235.8020186128084,175.66231124816454,688665.4807931521,105.27518581967385,203.74496951029522,470432.5538300333,235.8020189835001,175.66231152431382,688665.4829583801,105.27518598517133,203.74496983059177,470432.55530911684,235.8020193541917,175.66231180046302,688665.4851236077,105.27518615066874,203.7449701508882,470432.5567882001,235.80201972488334,175.66231207661227,688665.4872888352,105.2751863161662,203.74497047118473,470432.5582672834
196.94680376410807,146.7168557150881,480409.0184058859,87.92804864364764,170.17208234318596,328171.002779711,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,191.37816238714882,146.29813223563366,448863.99921980896,88.13613736031547,170.53668483938444,329579.2490509954,736.4714164587361,1039.979319018215,0.6370061456871094,0.0,0.0,181.74568980948487,144.40700089987578,402042.42712515814,88.48375988612413,171.11490483290186,331819.4151587149,741.2017410829965,1041.8655304710326,0.6388818517461003,0.0,0.0,179.38437402149788,142.9191676373576,394330.45513680996,88.53725134527211,171.21494117869446,332208.21392093715,743.1157133076196,1042.8694060264736,0.6399914786801393,182.50004115139387,143.49181029604063,408918.27090932906,88.4217149133937,171.0284620417353,331484.75874534843,740.5234858047756,1041.8031310123763,0.6389460590289789,185.4780536826141,144.68536610403132,421207.5763599987,88.33004783295436,170.87358358636922,330883.69841206755,183.38476052889368,144.6898723278789,409727.8712391019,88.41169980089411,171.01743909208702,331441.1842945949,178.82406812507196,142.3845033652013,393026.9808257702,88.54009142986385,171.23237472676854,332276.0885915619,178.14448604446991,141.61923021602942,392155.5843141434,88.5622843304096,171.24340000357319,332319.33709560294,180.70438678609233,142.38159015919373,403123.9680744488,88.47097908291116,171.10239457127133,331771.760251804
43.214931505181646,31.791820764354313,23026.00138008297,53.09841124903714,103.46584361313242,123770.6961216201,8582.856034278591,6769.794896304079,1.9319952503059041,2.2491240445724214,0.4714045207910317,37.05328028995274,23.695292287417484,15475.299654655573,47.709394298160774,97.7737131900395,111537.63175020859,11045.00854045913,6625.848708388343,1.7290598850541394,2.0938689375392143,0.39999999999999997,42.54077511040954,26.384415943103654,20046.839613225136,47.38038028951413,97.81399016862419,111444.14348355313,11310.754074616363,6493.689930391916,1.6720726950794345,1.893211021494748,0.9797958971132712,43.605676010231406,31.927986096428693,23366.810211864118,47.652146107618364,97.19756062996443,110386.57497764692,10663.422485121404,6623.7210571149735,1.7975861422675126,43.89086293341896,30.515614660915336,22212.916793953274,48.54137865577005,99.52627668211521,116164.16976877843,11389.907782615273,6205.707168873943,1.792349375493964,42.73582246965569,28.17643460686315,20117.70829495384,48.95470192859638,99.99431650703974,117399.93303623886,47.651637105655226,28.60910647497377,24713.275937163555,48.85775270409407,99.20712945806847,115804.11700717981,48.73032244686789,27.926085297384446,25236.084526500064,47.545065874998244,95.08477612682765,106079.04613631708,47.33971359358547,24.527358705028146,22741.118465342566,43.795956893839325,85.87557664223573,87092.99277207344,44.65488707359228,21.401741107674727,19616.747695961705,43.31117147735186,83.8741488210368,82587.27897320267
191.3267477089229,142.53015688271245,453382.3985644233,85.41894185564294,165.3160672999472,309708.9161091701,734.9999999999999,1039.4469683442248,0.6365141682948128,0.0,0.0,191.32675141583934,142.53015964420496,453382.4161328052,85.41894351061742,165.31607050291214,309708.92811026383,735.0,1039.4469683442248,0.6365141682948128,0.0,0.0,191.3267551227558,142.5301624056975,453382.4337011875,85.41894516559188,165.316073705877,309708.94011135737,734.9999999999998,1039.4469683442248,0.6365141682948128,0.0,0.0,191.32675882967226,142.53016516719003,453382.45126957016,85.41894682056635,165.31607690884186,309708.9521124514,735.0000000000001,1039.446968344225,0.6365141682948128,191.32676253658877,142.5301679286826,453382.46883795335,85.41894847554082,165.3160801118067,309708.9641135456,734.9999999999999,1039.4469683442248,0.6365141682948128,191.32676624350523,142.53017069017514,453382.48640633683,85.4189501305153,165.31608331477165,309708.9761146401,189.467270020007,142.30830415203368,443307.3332383358,85.48822038917481,165.43407315387367,310151.43411863944,156.99732328795827,126.73530936614405,309990.0373094007,86.77004664576766,167.19802431267496,316933.0673062704,149.85217364781087,121.70694356514247,278708.16900531814,86.82835604849632,167.50375946245816,318233.55097847583,152.58063065751566,122.11858428570659,290770.31375526974,86.32251443851038,167.28389170535962,317459.5839090103
