file,model,dataset,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,f1_1,f1_2,f1_3,f1_4,f1_avg,auc_1,auc_2,auc_3,auc_4,auc_avg
clusters-4-v0.csv,Logistic Regression,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,Logistic Regression,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,SVC (linear),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,SVC (linear),test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,SVC (rbf),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,SVC (rbf),test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,Random Forest Classifier (1),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,Random Forest Classifier (1),test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,Random Forest Classifier (3),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,Random Forest Classifier (3),test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,Random Forest Classifier (5),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0
clusters-4-v0.csv,Random Forest Classifier (5),test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,Neural Network Classifier (5),train,0.9921875,0.9965753424657534,1.0,0.9929328621908127,0.9795918367346939,0.9922750103478151,0.9965753424657534,0.9929824561403509,0.9825174825174825,0.9965397923875432,0.9921537683777826,0.9965753424657534,0.9964788732394366,0.9876977152899824,0.9879931389365352,0.9921862674829268,0.9999283211213763,0.9999635767619741,0.996374295450508,0.999907781257142,0.9990434936477501
clusters-4-v0.csv,Neural Network Classifier (5),test,0.9965277777777778,1.0,1.0,1.0,0.9861111111111112,0.9965277777777778,1.0,1.0,0.9864864864864865,1.0,0.9966216216216216,1.0,1.0,0.9931972789115646,0.993006993006993,0.9965510679796393,1.0,1.0,0.9957691336196008,0.9999350944375933,0.9989260570142986
clusters-4-v0.csv,"Neural Network Classifier (5,5)",train,0.9956597222222222,1.0,1.0,0.9964664310954063,0.9863013698630136,0.995691950239605,1.0,1.0,0.986013986013986,0.9965397923875432,0.9956384446003823,1.0,1.0,0.9912126537785588,0.9913941480206541,0.9956517004498032,1.0,1.0,0.9999313619405998,0.9999478763627324,0.999969809575833
clusters-4-v0.csv,"Neural Network Classifier (5,5)",test,0.9965277777777778,1.0,1.0,1.0,0.9861111111111112,0.9965277777777778,1.0,1.0,0.9864864864864865,1.0,0.9966216216216216,1.0,1.0,0.9931972789115646,0.993006993006993,0.9965510679796393,1.0,1.0,0.9999368527405911,1.0,0.9999842131851477
clusters-4-v0.csv,"Neural Network Classifier (5,5,5)",train,0.9965277777777778,1.0,1.0,0.9964788732394366,0.9896907216494846,0.9965423987222303,1.0,1.0,0.9895104895104895,0.9965397923875432,0.9965125704745081,1.0,1.0,0.9929824561403509,0.993103448275862,0.9965214761040533,1.0,1.0,0.9999798123354705,0.9999799524472048,0.9999899411956689
clusters-4-v0.csv,"Neural Network Classifier (5,5,5)",test,0.9965277777777778,1.0,1.0,1.0,0.9861111111111112,0.9965277777777778,1.0,1.0,0.9864864864864865,1.0,0.9966216216216216,1.0,1.0,0.9931972789115646,0.993006993006993,0.9965510679796393,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,Neural Network Classifier (10),train,0.9947916666666666,1.0,1.0,0.9964539007092199,0.9829351535836177,0.9948472635732094,1.0,1.0,0.9825174825174825,0.9965397923875432,0.9947643187262565,1.0,1.0,0.9894366197183099,0.9896907216494846,0.9947818353419486,1.0,1.0,0.9999111742760703,0.9999398573416143,0.9999627579044212
clusters-4-v0.csv,Neural Network Classifier (10),test,0.9965277777777778,1.0,1.0,1.0,0.9861111111111112,0.9965277777777778,1.0,1.0,0.9864864864864865,1.0,0.9966216216216216,1.0,1.0,0.9931972789115646,0.993006993006993,0.9965510679796393,1.0,1.0,0.9999368527405911,0.9999350944375933,0.9999679867945461
clusters-4-v1.csv,Logistic Regression,train,0.9513888888888888,0.952054794520548,0.9469964664310954,0.9372822299651568,0.9689655172413794,0.9513247520395449,0.952054794520548,0.9403508771929825,0.9405594405594405,0.972318339100346,0.9513208628433293,0.952054794520548,0.9436619718309859,0.9389179755671903,0.9706390328151986,0.9513184436834807,0.9959620898375279,0.9954997065905826,0.9922560118864968,0.9972214091825811,0.9952348043742971
clusters-4-v1.csv,Logistic Regression,test,0.9548611111111112,0.9710144927536232,0.9722222222222222,0.9333333333333333,0.9444444444444444,0.9552536231884059,0.9852941176470589,0.9333333333333333,0.9459459459459459,0.9577464788732394,0.9555799689498944,0.9781021897810219,0.9523809523809523,0.9395973154362416,0.951048951048951,0.9552823521617917,0.9995989304812835,0.9975586854460095,0.9977898459206871,0.9983773609398325,0.9983312056969531
clusters-4-v1.csv,SVC (linear),train,0.9539930555555556,0.9556313993174061,0.950530035335689,0.9405594405594405,0.9689655172413794,0.9539215981134788,0.958904109589041,0.9438596491228071,0.9405594405594405,0.972318339100346,0.9539103845929087,0.9572649572649573,0.9471830985915493,0.9405594405594405,0.9706390328151986,0.9539116323077863,0.9957151959222681,0.9955037536170299,0.9923084998142735,0.9972695233092896,0.9951992431657153
clusters-4-v1.csv,SVC (linear),test,0.9548611111111112,0.9710144927536232,0.9722222222222222,0.9333333333333333,0.9444444444444444,0.9552536231884059,0.9852941176470589,0.9333333333333333,0.9459459459459459,0.9577464788732394,0.9555799689498944,0.9781021897810219,0.9523809523809523,0.9395973154362416,0.951048951048951,0.9552823521617917,0.9994652406417113,0.9978090766823161,0.9974741096236424,0.9983124553774259,0.9982652205812739
clusters-4-v1.csv,SVC (rbf),train,0.9496527777777778,0.9583333333333334,0.9442508710801394,0.9246575342465754,0.9719298245614035,0.9497928908053629,0.9452054794520548,0.9508771929824561,0.9440559440559441,0.9584775086505191,0.9496540312852435,0.9517241379310345,0.9475524475524476,0.9342560553633218,0.9651567944250871,0.9496723588179727,0.9967346288626951,0.9955280357757139,0.9919814596488961,0.9970249431651879,0.9953172668631233
clusters-4-v1.csv,SVC (rbf),test,0.9583333333333334,0.9571428571428572,0.9594594594594594,0.935064935064935,0.9850746268656716,0.9591854696332307,0.9852941176470589,0.9466666666666667,0.972972972972973,0.9295774647887324,0.9586278055188578,0.9710144927536232,0.9530201342281879,0.9536423841059603,0.9565217391304348,0.9585496875545516,0.9995320855614974,0.9969327073552425,0.9975372568830513,0.9982475498150192,0.9980623999037026
clusters-4-v1.csv,Random Forest Classifier (1),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0
clusters-4-v1.csv,Random Forest Classifier (1),test,0.9375,0.9166666666666666,0.9571428571428572,0.9324324324324325,0.9444444444444444,0.9376716001716001,0.9705882352941176,0.8933333333333333,0.9324324324324325,0.9577464788732394,0.9385251199832807,0.9428571428571428,0.9241379310344827,0.9324324324324325,0.951048951048951,0.9376191143432522,0.9988302139037433,0.9895461658841941,0.995042940136398,0.9976958525345623,0.9952787931147244
clusters-4-v1.csv,Random Forest Classifier (3),train,0.9661458333333334,0.9757785467128027,0.958041958041958,0.9547038327526133,0.9758620689655172,0.9660966016182228,0.9657534246575342,0.9614035087719298,0.958041958041958,0.9792387543252595,0.9661094114491704,0.9707401032702238,0.9597197898423818,0.956369982547993,0.9775474956822107,0.9660943428357024,0.9992991398534565,0.9987858920658046,0.9981831101923481,0.9995108397117964,0.9989447454558514
clusters-4-v1.csv,Random Forest Classifier (3),test,0.9513888888888888,0.9571428571428572,0.971830985915493,0.9333333333333333,0.9444444444444444,0.9516879052090321,0.9852941176470589,0.92,0.9459459459459459,0.9577464788732394,0.9522466356165611,0.9710144927536232,0.9452054794520548,0.9395973154362416,0.951048951048951,0.9517165596727177,0.9992647058823529,0.9916118935837246,0.9970952260671886,0.9984747192834426,0.9966116362041771
clusters-4-v1.csv,Random Forest Classifier (5),train,0.9592013888888888,0.9688581314878892,0.9507042253521126,0.9448275862068966,0.972318339100346,0.9591770705368111,0.958904109589041,0.9473684210526315,0.958041958041958,0.972318339100346,0.9591582069459942,0.963855421686747,0.9490333919156415,0.9513888888888888,0.972318339100346,0.9591490103979058,0.9987695125836253,0.9978834051680527,0.9972544776239927,0.9991620122931593,0.9982673519172076
clusters-4-v1.csv,Random Forest Classifier (5),test,0.9548611111111112,0.9710144927536232,0.958904109589041,0.9466666666666667,0.9436619718309859,0.9550618102100792,0.9852941176470589,0.9333333333333333,0.9594594594594594,0.9436619718309859,0.9554372205677094,0.9781021897810219,0.9459459459459459,0.9530201342281879,0.9436619718309859,0.9551825604465354,0.9987967914438503,0.9917996870109547,0.9965269007325082,0.9982475498150191,0.996342732250583
clusters-4-v1.csv,Neural Network Classifier (5),train,0.9305555555555556,0.9556313993174061,0.955719557195572,0.9442379182156134,0.8746081504702194,0.9325492562997029,0.958904109589041,0.9087719298245615,0.8881118881118881,0.9653979238754326,0.9302964628502308,0.9572649572649573,0.9316546762589928,0.9153153153153153,0.9177631578947368,0.9304995266835006,0.9960337687161516,0.9937028268479735,0.990176682439962,0.9933041173663931,0.9933043488426201
clusters-4-v1.csv,Neural Network Classifier (5),test,0.9409722222222222,0.9571428571428572,0.9857142857142858,0.9315068493150684,0.8933333333333333,0.9419243313763863,0.9852941176470589,0.92,0.918918918918919,0.9436619718309859,0.9419687520992409,0.9710144927536232,0.9517241379310345,0.9251700680272109,0.9178082191780822,0.9414292294724877,0.9995989304812833,0.9956181533646322,0.9929906542056075,0.9927305770104498,0.9952345787654933
clusters-4-v1.csv,"Neural Network Classifier (5,5)",train,0.9288194444444444,0.9491525423728814,0.9363957597173145,0.9423076923076923,0.89171974522293,0.9298939349052044,0.958904109589041,0.9298245614035088,0.8566433566433567,0.9688581314878892,0.9285575397809489,0.9540034071550255,0.9330985915492958,0.8974358974358975,0.9286898839137645,0.9283069450134958,0.9901003504300732,0.9898460106436795,0.9671950451396181,0.9846716411327668,0.9829532618365344
clusters-4-v1.csv,"Neural Network Classifier (5,5)",test,0.9270833333333334,0.9710144927536232,0.971830985915493,0.9411764705882353,0.8375,0.9303804873143379,0.9852941176470589,0.92,0.8648648648648649,0.9436619718309859,0.9284552385857274,0.9781021897810219,0.9452054794520548,0.9014084507042254,0.8874172185430463,0.9280333346200872,0.9996657754010696,0.9954303599374021,0.9813715584743622,0.9771532420328422,0.988405233961419
clusters-4-v1.csv,"Neural Network Classifier (5,5,5)",train,0.9435763888888888,0.9523809523809523,0.9464285714285714,0.9198606271777003,0.9553264604810997,0.943499152867081,0.958904109589041,0.9298245614035088,0.9230769230769231,0.9619377162629758,0.9434358275831123,0.9556313993174061,0.9380530973451328,0.9214659685863874,0.9586206896551724,0.9434427887260247,0.9961651799936285,0.9942410813654667,0.9911335777386586,0.9949239596322477,0.9941159496825005
